shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,8,42.814465,-73.942494,255823.060917697556
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,9,42.641685,-73.741372,281101.385357048595
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,10,42.254045,-73.798041,324455.062056866183
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,11,41.921415,-73.951678,363554.441460341739
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,12,41.706241,-73.937903,387507.943208150857
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,13,41.190104,-73.882939,445082.431432451762
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,14,40.936162,-73.903009,473369.580579010071
f35cd6ce-d026-40b9-a43d-7e6673ba68a1,15,40.749716,-73.991780,495405.288987823529
edd72347-c43f-4168-9340-4e1b21c83c00,0,40.749716,-73.991780,0
edd72347-c43f-4168-9340-4e1b21c83c00,1,40.936162,-73.903009,22035.7084088134688
edd72347-c43f-4168-9340-4e1b21c83c00,2,41.190104,-73.882939,50322.8575553717965
edd72347-c43f-4168-9340-4e1b21c83c00,3,41.706241,-73.937903,107897.345779672702
edd72347-c43f-4168-9340-4e1b21c83c00,4,41.921415,-73.951678,131850.847527481819
edd72347-c43f-4168-9340-4e1b21c83c00,5,42.254045,-73.798041,170950.226930957346
edd72347-c43f-4168-9340-4e1b21c83c00,6,42.641685,-73.741372,214303.903630774934
edd72347-c43f-4168-9340-4e1b21c83c00,7,42.814465,-73.942494,239582.228070125944
edd72347-c43f-4168-9340-4e1b21c83c00,8,43.082516,-73.810455,271266.415385237429
edd72347-c43f-4168-9340-4e1b21c83c00,9,43.269808,-73.580171,299238.176274991245
edd72347-c43f-4168-9340-4e1b21c83c00,10,43.554567,-73.403360,333973.863338963303
edd72347-c43f-4168-9340-4e1b21c83c00,11,43.853907,-73.389616,367277.383990494418
edd72347-c43f-4168-9340-4e1b21c83c00,12,44.042255,-73.458581,388936.245149374532
edd72347-c43f-4168-9340-4e1b21c83c00,13,44.187313,-73.451715,405075.259757829539
edd72347-c43f-4168-9340-4e1b21c83c00,14,44.696798,-73.446253,461729.221918952011
edd72347-c43f-4168-9340-4e1b21c83c00,15,44.994954,-73.371291,495405.288987823471
f659ec1d-4ead-4671-b1c5-1c0515da4c64,0,42.641685,-73.741372,0
f659ec1d-4ead-4671-b1c5-1c0515da4c64,1,42.254045,-73.798041,43353.6766998175954
f659ec1d-4ead-4671-b1c5-1c0515da4c64,2,41.921415,-73.951678,82453.0561032931437
f659ec1d-4ead-4671-b1c5-1c0515da4c64,3,41.190104,-73.882939,163972.184191749373
f659ec1d-4ead-4671-b1c5-1c0515da4c64,4,40.749716,-73.991780,213786.446842161124
d8c1f283-5351-43d5-b662-80cd7263ea57,0,42.641685,-73.741372,0
d8c1f283-5351-43d5-b662-80cd7263ea57,1,42.254045,-73.798041,43353.6766998175954
d8c1f283-5351-43d5-b662-80cd7263ea57,2,41.921415,-73.951678,82453.0561032931437
d8c1f283-5351-43d5-b662-80cd7263ea57,3,41.190104,-73.882939,163972.184191749373
d8c1f283-5351-43d5-b662-80cd7263ea57,4,40.749716,-73.991780,213786.446842161124
56dd920f-a8c4-4f52-9821-cb99142c9943,0,40.749716,-73.991780,0
56dd920f-a8c4-4f52-9821-cb99142c9943,1,40.936162,-73.903009,22035.7084088134688
56dd920f-a8c4-4f52-9821-cb99142c9943,2,41.190104,-73.882939,50322.8575553717965
56dd920f-a8c4-4f52-9821-cb99142c9943,3,41.706241,-73.937903,107897.345779672702
56dd920f-a8c4-4f52-9821-cb99142c9943,4,41.921415,-73.951678,131850.847527481819
56dd920f-a8c4-4f52-9821-cb99142c9943,5,42.254045,-73.798041,170950.226930957346
56dd920f-a8c4-4f52-9821-cb99142c9943,6,42.641685,-73.741372,214303.903630774934
ec3d1f9f-d452-4ec0-b299-5c6c20ea222d,0,42.641685,-73.741372,0
ec3d1f9f-d452-4ec0-b299-5c6c20ea222d,1,42.254045,-73.798041,43353.6766998175954
ec3d1f9f-d452-4ec0-b299-5c6c20ea222d,2,41.921415,-73.951678,82453.0561032931437
ec3d1f9f-d452-4ec0-b299-5c6c20ea222d,3,40.749716,-73.991780,212783.228935833788
42824ed1-6564-4f09-b903-ce0a9f4b83e6,0,42.641685,-73.741372,0
42824ed1-6564-4f09-b903-ce0a9f4b83e6,1,42.254045,-73.798041,43353.6766998175954
42824ed1-6564-4f09-b903-ce0a9f4b83e6,2,41.921415,-73.951678,82453.0561032931437
42824ed1-6564-4f09-b903-ce0a9f4b83e6,3,41.706241,-73.937903,106406.557851102261
42824ed1-6564-4f09-b903-ce0a9f4b83e6,4,41.190104,-73.882939,163981.046075403166
42824ed1-6564-4f09-b903-ce0a9f4b83e6,5,40.936162,-73.903009,192268.195221961505
42824ed1-6564-4f09-b903-ce0a9f4b83e6,6,40.749716,-73.991780,214303.903630774963
0c3a45a7-a0cd-49f0-9560-144b07a4e7fc,0,40.749716,-73.991780,0
0c3a45a7-a0cd-49f0-9560-144b07a4e7fc,1,41.921415,-73.951678,130330.172832540629
0c3a45a7-a0cd-49f0-9560-144b07a4e7fc,2,42.254045,-73.798041,169429.55223601617
0c3a45a7-a0cd-49f0-9560-144b07a4e7fc,3,42.641685,-73.741372,212783.228935833758
9afc1603-51ba-4dc6-aedd-907a0b8c52de,0,40.749716,-73.991780,0
9afc1603-51ba-4dc6-aedd-907a0b8c52de,1,41.190104,-73.882939,49814.2626504117652
9afc1603-51ba-4dc6-aedd-907a0b8c52de,2,41.706241,-73.937903,107388.750874712656
9afc1603-51ba-4dc6-aedd-907a0b8c52de,3,41.921415,-73.951678,131342.252622521773
9afc1603-51ba-4dc6-aedd-907a0b8c52de,4,42.254045,-73.798041,170441.632025997329
9afc1603-51ba-4dc6-aedd-907a0b8c52de,5,42.641685,-73.741372,213795.308725814917
7e70db24-4199-423c-bdaa-d547a4a0a1d3,0,42.641685,-73.741372,0
7e70db24-4199-423c-bdaa-d547a4a0a1d3,1,42.254045,-73.798041,43353.6766998175954
7e70db24-4199-423c-bdaa-d547a4a0a1d3,2,41.921415,-73.951678,82453.0561032931437
7e70db24-4199-423c-bdaa-d547a4a0a1d3,3,41.706241,-73.937903,106406.557851102261
7e70db24-4199-423c-bdaa-d547a4a0a1d3,4,41.190104,-73.882939,163981.046075403166
7e70db24-4199-423c-bdaa-d547a4a0a1d3,5,40.936162,-73.903009,192268.195221961505
