trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
280,8,AK_10007,09:20:00,09:20:00,,,,445759.82,0
280,9,AK_10006,09:41:00,10:10:00,,,,471038.15,0
280,10,AK_10005,10:33:00,10:33:00,,,,514391.83,0
280,11,AK_10004,10:56:00,10:56:00,,,,553491.20,0
280,12,AK_10003,11:20:00,11:20:00,,,,577444.71,0
280,13,AK_10002,12:03:00,12:03:00,,,,635019.19,0
280,14,AK_10001,12:23:00,12:23:00,,0,0,663306.34,
280,15,AK_10000,12:58:00,12:58:00,,,,685342.05,0
281,0,AK_10000,10:20:00,10:20:00,,0,0,0.00,0
281,1,AK_10002,11:04:00,11:04:00,,0,0,49814.26,0
281,2,AK_10003,11:50:00,11:50:00,,0,0,107388.75,0
281,3,AK_10004,12:05:00,12:05:00,,0,0,131342.25,0
281,4,AK_10005,12:27:00,12:27:00,,0,0,170441.63,0
281,5,AK_10006,12:50:00,13:00:00,,0,0,213795.31,0
281,6,AK_10007,13:23:00,13:23:00,,0,0,239073.63,0
281,7,STOP_1473616,13:43:00,13:43:00,,0,0,266444.54,0
281,8,AK_10015,14:40:00,14:40:00,,0,0,349720.72,0
281,9,AK_10016,14:56:00,14:56:00,,0,0,370920.73,0
281,10,AK_10017,15:45:00,15:45:00,,0,0,430963.17,0
281,11,AK_10018,16:59:00,16:59:00,,0,0,548094.02,0
281,12,AK_10019,18:03:00,18:03:00,,0,0,643353.51,0
281,13,AK_10020,18:24:00,18:24:00,,0,0,655722.00,0
281,14,STOP_1473715,19:11:00,19:11:00,,0,0,684833.46,0
283,0,AK_10000,13:20:00,13:20:00,,0,0,0.00,0
283,1,AK_10001,13:44:00,13:44:00,,0,0,22035.71,0
283,2,AK_10002,14:03:00,14:03:00,,0,0,50322.86,0
283,3,AK_10003,14:45:00,14:45:00,,0,0,107897.35,0
283,4,AK_10004,15:00:00,15:00:00,,0,0,131850.85,0
283,5,AK_10005,15:22:00,15:22:00,,0,0,170950.23,0
283,6,AK_10006,15:45:00,16:00:00,,0,0,214303.90,0
283,7,AK_10007,16:23:00,16:23:00,,0,0,239582.23,0
283,8,STOP_1473616,16:43:00,16:43:00,,0,0,266953.14,0
283,9,AK_10015,17:40:00,17:40:00,,0,0,350229.32,0
283,10,AK_10016,17:55:00,17:55:00,,0,0,371429.32,0
283,11,AK_10017,18:44:00,18:44:00,,0,0,431471.77,0
283,12,AK_10018,19:58:00,19:58:00,,0,0,548602.61,0
283,13,AK_10019,21:02:00,21:02:00,,0,0,643862.11,0
283,14,AK_10020,21:23:00,21:23:00,,0,0,656230.59,0
283,15,STOP_1473715,22:11:00,22:11:00,,0,0,685342.05,0
288,0,STOP_1473715,14:59:00,14:59:00,,0,0,0.00,0
288,1,AK_10020,15:37:00,15:37:00,,0,0,29111.46,0
288,2,AK_10019,15:53:00,15:53:00,,0,0,41479.94,0
288,3,AK_10018,16:48:00,16:48:00,,0,0,136739.44,0
288,4,AK_10017,18:08:00,18:08:00,,0,0,253870.28,0
288,5,AK_10016,18:48:00,18:48:00,,0,0,313912.73,0
288,6,AK_10015,19:03:00,19:03:00,,0,0,335112.73,0
288,7,STOP_1473616,20:04:00,20:04:00,,0,0,418388.92,0
288,8,AK_10007,20:35:00,20:35:00,,0,0,445759.82,0
288,9,AK_10006,20:55:00,21:15:00,,0,0,471038.15,0
288,10,AK_10005,21:37:00,21:37:00,,0,0,514391.83,0
288,11,AK_10004,21:59:00,21:59:00,,0,0,553491.20,0
288,12,AK_10003,22:17:00,22:17:00,,0,0,577444.71,0
288,13,AK_10002,22:57:00,22:57:00,,0,0,635019.19,0
288,14,AK_10000,23:45:00,23:45:00,,0,0,684833.46,0
284,0,STOP_1473715,06:47:00,06:47:00,,0,0,0.00,0
284,1,AK_10020,07:25:00,07:25:00,,0,0,29111.46,0
284,2,AK_10019,07:41:00,07:41:00,,0,0,41479.94,0
284,3,AK_10018,08:36:00,08:36:00,,0,0,136739.44,0
284,4,AK_10017,09:56:00,09:56:00,,0,0,253870.28,0
284,5,AK_10016,10:36:00,10:36:00,,0,0,313912.73,0
284,6,AK_10015,10:51:00,10:51:00,,0,0,335112.73,0
284,7,STOP_1473616,11:52:00,11:52:00,,0,0,418388.92,0
284,8,AK_10007,12:16:00,12:16:00,,0,0,445759.82,0
284,9,AK_10006,12:37:00,13:10:00,,0,0,471038.15,0
284,10,AK_10005,13:33:00,13:33:00,,0,0,514391.83,0
284,11,AK_10004,13:56:00,13:56:00,,0,0,553491.20,0
284,12,AK_10003,14:20:00,14:20:00,,0,0,577444.71,0
284,13,AK_10002,15:03:00,15:03:00,,0,0,635019.19,0
284,14,AK_10001,15:24:00,15:24:00,,0,0,663306.34,0
284,15,AK_10000,15:58:00,15:58:00,,0,0,685342.05,0
292,0,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,11:15:00,11:15:00,,0,0,0.00,
292,1,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,11:34:00,11:34:00,,0,0,15273.23,
292,2,STOP_1473500,12:30:00,12:30:00,,0,0,65775.28,0
